,title,rating,review_num,price
0,SottoCasa Pizzeria,5,181,$$ - $$$
1,Daniel,4.5,2973,$$$$
2,Song e Napule Pizzeria,5,101,$$ - $$$
3,Decoy Bar,4.5,142,$$ - $$$
4,Gabriel Kreuther,4.5,523,$$$$
5,Pisillo Italian Panini,4.5,761,$
6,Faiccos Pork Store,4.5,305,$
7,Club A Steakhouse,4.5,3007,$$$$
8,DeStefanos Steak House,5,225,$$$$
9,Petite Boucherie,4.5,245,$$ - $$$
10,Los Tacos No. 1,4.5,1352,$
11,Per Se,4.5,1640,$$$$
12,Murrays Cheese,4.5,209,$$ - $$$
13,Bleecker Street Pizza,4.5,928,$
14,Spice Symphony,4.5,1884,$$ - $$$
15,San Carlo Osteria Piemonte,5,266,$$ - $$$
16,Eileens Special Cheesecake,4.5,1734,$
17,Le Bernardin,4.5,3072,$$$$
18,Julianas Pizza,4.5,2542,$$ - $$$
19,The Modern,4.5,1824,$$$$
20,Sottocasa Pizzeria,4.5,222,$$ - $$$
21,Nerai,4.5,564,$$$$
22,Indian Accent,4.5,349,$$$$
23,K Rico,4.5,2344,$$ - $$$
24,Piccola Cucina,4.5,1222,$$ - $$$
25,Gramercy Tavern,4.5,3396,$$$$
26,Pure Thai Cookhouse,4.5,1147,$$ - $$$
27,Fiore Deli of Hoboken,5,126,$
28,Cull & Pistol,4.5,797,$$ - $$$
29,Oregano,4.5,230,$$ - $$$
30,LArtusi,4.5,438,$$$$
31,Russ & Daughters,4.5,975,$$ - $$$
32,Loi Estiatorio,4.5,174,$$ - $$$
33,Jungsik,4.5,231,$$$$
34,Momofuku Ko,4.5,369,$$$$
35,B Side Pizzeria,4.5,252,$$ - $$$
36,Momosan Ramen & Sake,4.5,367,$$ - $$$
37,Royal 35 Steakhouse,4.5,177,$$$$
38,Tree Bistro,4.5,306,$$ - $$$
39,Bouley Restaurant,4.5,1683,$$$$
40,Beyond Sushi,4.5,188,$$ - $$$
41,Nish Nush,4.5,127,$
42,The Musket Room,4.5,254,$$$$
43,Bagels & Schmear,4.5,128,$
44,Scalini Fedeli,4.5,378,$$$$
45,Craft,4.5,885,$$$$
46,Rafele,4.5,1171,$$ - $$$
47,Numero 28 Pizzeria,4.5,886,$$ - $$$
48,Russ & Daughters Cafe,4.5,485,$$ - $$$
49,The Donut Pub,4.5,142,$
50,Broadway Bagel,4.5,166,$
51,RabbitHole,4.5,205,$$ - $$$
52,Olio e Piu,4.5,1057,$$ - $$$
53,Gotham Bar & Grill,4.5,1619,$$$$
54,San Matteo Pizza Espresso Bar,4.5,289,$$ - $$$
55,Via Della Pace,4.5,865,$$ - $$$
56,Lincoln Square Steak,4.5,2004,$$$$
57,Hummus Place Upper West Side,4.5,255,$
58,Izakaya Mew,4.5,833,$$ - $$$
59,Rubirosa,4.5,1047,$$ - $$$
60,Upstate,4.5,119,$$ - $$$
61,Patsys Italian Restaurant,4.5,3933,$$ - $$$
62,Gallaghers Steak House,4.5,4058,$$$$
63,Amelie,4.5,396,$$ - $$$
64,Piccola Cucina,4.5,391,$$ - $$$
65,Bemelmans Bar,4.5,441,$$$$
66,Casellula,4.5,251,$$ - $$$
67,Ocean Prime,4.5,437,$$$$
68,The Mean Fiddler,4.5,826,$$ - $$$
69,Rustic Table,4.5,518,$$ - $$$
70,Keens Steakhouse,4.5,5836,$$$$
71,The NoMad Bar,4.5,276,$$ - $$$
72,The River Cafe,4.5,3542,$$$$
73,The Lobster Place,4.5,1958,$$ - $$$
74,Tocqueville,4.5,240,$$$$
75,Her Name Is Han,4.5,134,$$ - $$$
76,Blue Hill,4.5,622,$$$$
77,The Little Owl,4.5,1128,$$ - $$$
78,Almayass,4.5,203,$$$$
79,Taim West Village,4.5,245,$
80,Marea,4.5,1986,$$$$
81,Mastros Steakhouse,4.5,486,$$$$
82,Robert,4.5,1428,$$$$
83,Hatsuhana Restaurant,4.5,285,$$ - $$$
84,Bistango Restaurant,4.5,434,$$ - $$$
85,Ippudo,4.5,1092,$$ - $$$
