,title,rating,review_num,locations
0,Amelie,4.5,2089,Tompkinsville
1,Upstate,4.5,1557,GreenwichVillage
2,Burger & Lobster,4.0,4403,EastVillage
3,nonono,4.5,62,Flatiron
4,Jane,4.0,2896,MidtownEast
5,Dutch Freds,4.5,850,GreenwichVillage
6,The Smith,4.0,2056,TheaterDistrict
7,Tanner Smiths,4.0,1163,MidtownEast
8,Jacobs Pickles,4.0,3143,MidtownWest
9,Bea,4.0,1857,UpperWestSide
10,Jacks Wife Freda,4.0,1569,MidtownWest
11,Carmines Italian Restaurant,4.0,3005,SoHo
12,Root & Bone,4.0,1348,TheaterDistrict
13,The Alcove,5.0,419,AlphabetCity
14,Joes Shanghai,4.0,5242,Woodside
15,Raku,5.0,36,Chinatown
16,Gramercy Tavern,4.5,2509,SouthVillage
17,Suspenders Restaurant & Bar,4.0,180,Flatiron
18,Buttermilk Channel,4.0,1704,FinancialDistrict
19,The Boil,4.5,1646,CarrollGardens
20,Uglyduckling,4.0,354,LowerEastSide
21,Corazon De Mexico Restaurant & Bar,3.5,16,CobbleHill
22,Thai Villa,4.5,1736,HuntersPoint
23,Cookshop,4.0,1839,Flatiron
24,Sweet Chick,4.0,1239,Chelsea
25,Park Avenue Tavern,4.0,629,LowerEastSide
26,Di An Di,4.0,36,MurrayHill
27,Soco,4.0,1796,Greenpoint
28,Buddakan,4.0,3472,ClintonHill
29,Tsurutontan Udon Noodle Brasserie - Midtown,3.5,45,MeatpackingDistrict
30,Lukes Lobster FiDi,4.5,955,Tompkinsville
31,Atrium Dumbo,3.5,532,FinancialDistrict
32,The Malt House,4.0,354,DUMBO
33,Lamano West Village,4.0,9,FinancialDistrict
34,Momofuku Ssam Bar,4.0,2244,WestVillage
35,Calle Ocho,4.0,2326,EastVillage
36,Distilled,4.0,685,UpperWestSide
37,ABC Kitchen,4.0,2697,TriBeCa
38,Bistro Pierre Lapin,4.0,16,Flatiron
39,Oxomoco,4.0,34,WestVillage
40,Uva,4.0,2022,Greenpoint
41,LArtusi,4.5,1506,UpperEastSide
42,Beauty & Essex,4.0,2898,WestVillage
43,Trattoria Trecolori,4.0,1792,LowerEastSide
44,Parker & Quinn,4.0,1064,TheaterDistrict
45,The River Cafe,4.0,920,MidtownWest
46,The Milling Room,4.5,336,DUMBO
47,Yaso Tangbao,4.0,593,UpperWestSide
48,Balthazar Restaurant,4.0,2673,DowntownBrooklyn
49,La Sirene,4.5,1480,SoHo
50,Blue Ribbon Brasserie - SoHo,4.5,857,SouthVillage
51,Cask Bar & Kitchen,4.0,1219,SouthVillage
52,Scarpetta,4.0,1657,MurrayHill
53,Jora Restaurant & Bar,4.5,410,Flatiron
54,Heidis House By The Side Of The Road,4.5,545,HuntersPoint
55,Ipanema Restaurant,4.0,1001,UpperEastSide
56,The Little Owl,4.0,1188,MidtownWest
57,PMF Pardon My French,4.0,711,WestVillage
58,Da Claudio,4.5,319,AlphabetCity
59,Foragers Table,4.0,470,FinancialDistrict
60,Locanda Verde,4.0,1450,Tompkinsville
61,Extra Virgin,4.0,1139,TriBeCa
62,Aunt Jakes,4.0,799,WestVillage
63,Friedmans,4.0,1796,LittleItaly
64,TongKatsu,5.0,125,MidtownWest
65,Breakroom,4.5,1388,LowerEastSide
66,Red Hook Lobster Pound,4.0,874,Chinatown
67,Trading Post,4.0,317,RedHook
68,Eataly,4.0,4960,SouthStreetSeaport
69,Casa Enrique,4.0,930,Flatiron
70,Havana Social - Hells Kitchen,4.0,732,HuntersPoint
71,191 Knickerbocker,5.0,24,Hell'sKitchen
72,Jacks Wife Freda,4.0,652,Bushwick
73,Lillies Victorian Establishment,4.0,1234,WestVillage
74,Tasty Hand-Pulled Noodles,4.0,1399,TheaterDistrict
75,Crescent Grill,4.5,259,Chinatown
76,Midwinter Kitchen,4.5,384,LongIslandCity
77,Sugar Freak,4.0,1397,Gramercy
78,Trademark Taste + Grind,4.5,439,Astoria
79,Upland,4.0,761,MidtownWest
80,Pig and Khao,4.0,1271,Flatiron
81,Pies-n-Thighs,4.0,2526,LowerEastSide
82,Momofuku Nishi,4.0,421,Williamsburg-SouthSide
83,Rabbit House,4.5,150,Chelsea
84,BlackTail,4.5,195,LowerEastSide
85,Jayleens Special Mediterranean Cuisine,4.5,25,BatteryPark
86,Hard Times,4.0,316,FinancialDistrict
87,Ichabods,4.0,531,UnionSquare
88,The Flatiron Room,4.5,666,Flatiron
89,Juniors Cheesecake,4.0,3557,TheaterDistrict
90,The Beast Next Door,4.5,141,Tompkinsville
91,Cuba Restaurant and Rum Bar,4.0,1382,LongIslandCity
92,Zeytin Mediterranean,4.5,37,GreenwichVillage
93,District Social,4.0,408,FinancialDistrict
94,Antica Ristorante,4.5,392,MidtownWest
95,Marc Forgione,4.0,839,FinancialDistrict
96,MangoSeed Restaurant,4.0,699,TriBeCa
97,Peaches HotHouse,4.0,965,Flatbush
98,Thursday Kitchen,4.5,903,BedfordStuyvesant
99,Traif,4.5,1752,EastVillage
100,LoveMama,4.0,3332,Williamsburg-SouthSide
101,Despana,4.5,505,EastVillage
102,Cafe Habana,4.0,3012,SoHo
103,OBAO,4.0,1785,Nolita
104,Pio Pio 8,4.0,2048,MidtownWest
105,Los Tacos No.1,4.5,2269,Hell'sKitchen
106,Mariella,4.5,250,MeatpackingDistrict
107,ilili,4.0,2104,SouthSlope
108,Saigon Shack,4.0,2084,Flatiron
109,Galli Restaurant,4.0,736,GreenwichVillage
110,Stone Park Cafe,4.0,835,SoHo
111,Maiella,4.0,612,ParkSlope
112,Fishmarket Restaurant,4.5,440,HuntersPoint
113,Tribecas Kitchen,4.0,318,SouthStreetSeaport
114,Ippudo Westside,4.0,3171,TriBeCa
115,Hunan Slurp,4.5,55,TheaterDistrict
116,The Mermaid Inn,4.0,932,EastVillage
117,Sweet Chick,4.0,1641,UpperWestSide
118,Babbo,4.0,2213,Williamsburg-NorthSide
119,Sugar Momma,4.5,28,GreenwichVillage
120,Gersi,4.5,168,Tompkinsville
121,Vitae,4.0,733,CarrollGardens
122,Boqueria Restaurant - Flatiron,4.0,1119,MidtownEast
123,Fan Fried Rice Bar,5.0,17,Flatiron
124,Grand Banks,4.0,331,BedfordStuyvesant
125,Flip Sigi,4.0,539,WestVillage
126,Juno,4.0,126,Bushwick
127,Up Thai,4.5,1712,UpperEastSide
128,Woorijip Authentic Korean Food,4.0,2400,Koreatown
129,White Oak Tavern,4.0,259,GreenwichVillage
130,Grazie,4.0,303,UpperEastSide
131,The Saint Austere,4.5,335,Williamsburg-NorthSide
132,Boqueria Spanish Tapas - Soho,4.0,829,SouthVillage
133,Nyonya,4.0,1824,LittleItaly
134,Tiny Shanghai,4.5,60,LittleItaly
135,Bensons NYC,4.5,290,LowerEastSide
136,Bricolage,4.0,355,ParkSlope
137,The Red Cat,4.0,660,Chelsea
138,Verlaine,4.0,1314,LowerEastSide
139,Freemans,4.0,1875,LowerEastSide
140,Julianas Pizza,4.5,1703,DUMBO
141,Toro Loco,4.0,45,FinancialDistrict
142,Haymaker Bar and Kitchen,4.0,262,Chelsea
143,Boucherie - Park,4.5,214,Gramercy
144,The Sea Fire Grill,4.5,819,MidtownEast
145,BLVD Bistro,4.0,580,Harlem
146,Gotham Bar and Grill,4.5,1439,UnionSquare
147,Red Rooster Harlem,3.5,2534,Harlem
148,Her Name Is Han,4.0,865,MidtownEast
149,Restaurant Ukiyo,5.0,16,EastVillage
150,Boqueria Restaurant - West 40th Street,4.0,81,Tompkinsville
151,Boulud Sud,4.0,635,MidtownWest
152,Minetta Tavern,4.0,1983,UpperWestSide
153,Bijans,4.0,408,GreenwichVillage
154,Ella Kitchen & Bar,4.0,374,BoerumHill
155,Izakaya NoMad,4.0,557,UpperWestSide
156,Pepe Rosso Social,4.0,681,Flatiron
157,Meadowsweet,4.0,291,LittleItaly
158,Mables Smokehouse & Banquet Hall,4.0,703,Williamsburg-SouthSide
159,Burger & Barrel,3.5,758,Williamsburg-NorthSide
160,Le Parisien,4.0,845,SoHo
161,Brindle Room,4.0,900,MurrayHill
162,Supper,4.0,1147,EastVillage
163,Westville Chelsea,4.0,1005,EastVillage
164,The Brooklyn Tree,4.5,95,Chelsea
165,Thai Festival,4.0,20,EastWilliamsburg
166,Barons,4.5,190,CobbleHill
167,The Warren,4.0,175,BedfordStuyvesant
168,Amy Ruths,4.0,2205,WestVillage
169,Bogota Latin Bistro,4.0,1910,Harlem
170,High Street On Hudson,4.0,317,ParkSlope
171,Covina,4.5,260,WestVillage
172,La Contenta,4.5,606,Flatiron
173,JoJu,4.5,1398,LowerEastSide
174,The Queensboro,4.5,37,Elmhurst
175,The Eddy,4.5,330,JacksonHeights
176,Miriam,4.0,849,EastVillage
177,Butcher Bar,4.0,1603,ParkSlope
178,Les Enfants de Boheme,4.5,163,Astoria
179,88 Lan Zhou Handmade Noodles,4.0,1470,LowerEastSide
180,Felice,4.0,264,Tompkinsville
181,Seamores,4.0,43,FinancialDistrict
182,The Smith,3.5,1337,DUMBO
183,Bustan,4.0,412,UpperWestSide
184,Juniper,4.0,403,UpperWestSide
185,Shanghai Asian Manor,4.0,1350,MidtownWest
186,The NoMad Restaurant,4.0,1332,Chinatown
187,Imani Caribbean Kitchen & Bar,4.5,64,Flatiron
188,Mu Ramen,4.0,961,FortGreene
189,Maite,4.0,155,HuntersPoint
190,Tonys Di Napoli,4.0,1697,Bushwick
191,Union Bar & Kitchen,4.0,271,TheaterDistrict
192,Quality Eats,4.5,76,SouthVillage
193,Rustic Table,4.5,535,Flatiron
194,The Osprey,3.5,66,Hell'sKitchen
195,Raku,4.5,682,EastVillage
196,Habana Outpost,4.0,928,FortGreene
197,Queens Comfort,4.0,1861,Astoria
198,Gyu-Kaku Japanese BBQ,4.0,1026,MidtownWest
199,Olio e Piu,4.0,1158,WestVillage
200,Cafe Mogador,4.5,957,Williamsburg-NorthSide
201,Samba Kitchen,4.5,305,MidtownWest
202,Lukes Lobster Brooklyn Bridge Park-DUMBO,4.0,239,DUMBO
203,Voltaire,4.0,14,CobbleHill
204,Westville Hudson,4.0,432,SouthVillage
205,Becco,3.5,2446,MidtownWest
206,Gentleman Farmer - Fort Greene,4.5,112,FortGreene
207,The Shake and Burger Bar,4.5,40,KipsBay
208,Porteno Restaurant,4.5,345,Chelsea
209,Boqueria Spanish Tapas - Upper East Side,4.0,562,UpperEastSide
210,Pearls,4.0,348,Tompkinsville
211,Jack the Horse Tavern,4.0,342,Williamsburg-NorthSide
212,Barn Joo,4.0,1249,BrooklynHeights
213,Calle Dao - Chelsea,4.5,279,UnionSquare
214,Mominette,4.0,524,Chelsea
215,Barbuto,4.0,824,Bushwick
216,Little Collins,4.5,668,WestVillage
217,Hakata Tonton,4.0,905,MidtownEast
218,Gato,4.0,970,WestVillage
219,The Smith,4.0,609,NoHo
220,District Tap House,4.0,706,Flatiron
221,OTIS,5.0,76,MidtownWest
222,Clinton Street Baking Company,4.0,4211,EastWilliamsburg
223,Miramar,4.0,137,LowerEastSide
224,Izakaya MEW,4.0,1791,BatteryPark
225,Tavern29,3.5,758,MidtownWest
226,Momosan Ramen & Sake,4.0,1253,Flatiron
227,The Farm On Adderley,4.0,1060,MurrayHill
228,Lolos Seafood Shack,4.0,532,Flatbush
229,Chouchou,4.0,80,Harlem
230,Pepe Giallo,4.0,508,EastVillage
231,The Bar Room,4.0,407,Chelsea
232,La Pulperia UES,4.0,575,UpperEastSide
233,Hometown Bar-B-Que,4.0,1052,Yorkville
234,Surfish Bistro,4.0,253,RedHook
235,Salinas,4.0,822,Gowanus
236,Chikarashi,4.0,444,Chelsea
237,Fonda Park Slope,4.0,707,SouthSlope
238,Five Leaves,4.0,1459,Greenpoint
239,Black Iron Burger,4.0,660,MidtownWest
240,The Thirsty Koala,4.0,893,Tompkinsville
241,Toloache 50,4.0,1611,Astoria
